Cancer	scenario	Stage	dwell
[OTHER]	old_1	I	10
[OTHER]	old_1	II	4
[OTHER]	old_1	III	2
[OTHER]	old_1	IV	1
[OTHER]	old_2	I	7
[OTHER]	old_2	II	3
[OTHER]	old_2	III	1.5
[OTHER]	old_2	IV	1
[OTHER]	old_3	I	4
[OTHER]	old_3	II	2
[OTHER]	old_3	III	1
[OTHER]	old_3	IV	1
[OTHER]	old_4	I	2
[OTHER]	old_4	II	1
[OTHER]	old_4	III	0.5
[OTHER]	old_4	IV	0.5
[OTHER]	old_1	NotStaged	6
[OTHER]	old_2	NotStaged	4
[OTHER]	old_3	NotStaged	3
[OTHER]	old_4	NotStaged	2
Anus	old_1	I	4
Anus	old_1	II	2
Anus	old_1	III	1
Anus	old_1	IV	1
Anus	old_2	I	3
Anus	old_2	II	1.5
Anus	old_2	III	0.75
Anus	old_2	IV	0.75
Anus	old_3	I	2
Anus	old_3	II	1
Anus	old_3	III	0.5
Anus	old_3	IV	0.5
Anus	old_4	I	1.5
Anus	old_4	II	0.75
Anus	old_4	III	0.5
Anus	old_4	IV	0.25
Bladder	old_1	I	10
Bladder	old_1	II	4
Bladder	old_1	III	2
Bladder	old_1	IV	1
Bladder	old_2	I	7
Bladder	old_2	II	3
Bladder	old_2	III	1.5
Bladder	old_2	IV	1
Bladder	old_3	I	4
Bladder	old_3	II	2
Bladder	old_3	III	1
Bladder	old_3	IV	1
Bladder	old_4	I	2
Bladder	old_4	II	1
Bladder	old_4	III	0.5
Bladder	old_4	IV	0.5
Brain	old_1	NotStaged	6
Brain	old_2	NotStaged	4
Brain	old_3	NotStaged	3
Brain	old_4	NotStaged	2
Breast	old_1	I	10
Breast	old_1	II	4
Breast	old_1	III	2
Breast	old_1	IV	1
Breast	old_2	I	7
Breast	old_2	II	3
Breast	old_2	III	1.5
Breast	old_2	IV	1
Breast	old_3	I	4
Breast	old_3	II	2
Breast	old_3	III	1
Breast	old_3	IV	1
Breast	old_4	I	2
Breast	old_4	II	1
Breast	old_4	III	0.5
Breast	old_4	IV	0.5
Cervix	old_1	I	8
Cervix	old_1	II	4
Cervix	old_1	III	2
Cervix	old_1	IV	1
Cervix	old_2	I	6
Cervix	old_2	II	3
Cervix	old_2	III	1.5
Cervix	old_2	IV	1
Cervix	old_3	I	4
Cervix	old_3	II	2
Cervix	old_3	III	1
Cervix	old_3	IV	1
Cervix	old_4	I	1.5
Cervix	old_4	II	0.75
Cervix	old_4	III	0.5
Cervix	old_4	IV	0.25
Colon/Rectum	old_1	I	4
Colon/Rectum	old_1	II	2
Colon/Rectum	old_1	III	1
Colon/Rectum	old_1	IV	1
Colon/Rectum	old_2	I	3
Colon/Rectum	old_2	II	1.5
Colon/Rectum	old_2	III	0.75
Colon/Rectum	old_2	IV	0.75
Colon/Rectum	old_3	I	2
Colon/Rectum	old_3	II	1
Colon/Rectum	old_3	III	0.5
Colon/Rectum	old_3	IV	0.5
Colon/Rectum	old_4	I	1.5
Colon/Rectum	old_4	II	0.75
Colon/Rectum	old_4	III	0.5
Colon/Rectum	old_4	IV	0.25
CUP	old_1	NotStaged	6
CUP	old_2	NotStaged	4
CUP	old_3	NotStaged	3
CUP	old_4	NotStaged	2
Esophagus	old_1	I	4
Esophagus	old_1	II	2
Esophagus	old_1	III	1
Esophagus	old_1	IV	1
Esophagus	old_2	I	3
Esophagus	old_2	II	1.5
Esophagus	old_2	III	0.75
Esophagus	old_2	IV	0.75
Esophagus	old_3	I	2
Esophagus	old_3	II	1
Esophagus	old_3	III	0.5
Esophagus	old_3	IV	0.5
Esophagus	old_4	I	1.5
Esophagus	old_4	II	0.75
Esophagus	old_4	III	0.5
Esophagus	old_4	IV	0.25
Gallbladder	old_1	I	8
Gallbladder	old_1	II	2
Gallbladder	old_1	III	1
Gallbladder	old_1	IV	1
Gallbladder	old_2	I	5
Gallbladder	old_2	II	1.5
Gallbladder	old_2	III	1
Gallbladder	old_2	IV	0.75
Gallbladder	old_3	I	2
Gallbladder	old_3	II	1
Gallbladder	old_3	III	1
Gallbladder	old_3	IV	0.5
Gallbladder	old_4	I	1
Gallbladder	old_4	II	0.5
Gallbladder	old_4	III	0.25
Gallbladder	old_4	IV	0.25
Head and Neck	old_1	I	8
Head and Neck	old_1	II	4
Head and Neck	old_1	III	2
Head and Neck	old_1	IV	1
Head and Neck	old_2	I	6
Head and Neck	old_2	II	3
Head and Neck	old_2	III	1.5
Head and Neck	old_2	IV	1
Head and Neck	old_3	I	4
Head and Neck	old_3	II	2
Head and Neck	old_3	III	1
Head and Neck	old_3	IV	1
Head and Neck	old_4	I	1.5
Head and Neck	old_4	II	0.75
Head and Neck	old_4	III	0.5
Head and Neck	old_4	IV	0.25
Kidney	old_1	I	8
Kidney	old_1	II	2
Kidney	old_1	III	1
Kidney	old_1	IV	1
Kidney	old_2	I	5
Kidney	old_2	II	1.5
Kidney	old_2	III	1
Kidney	old_2	IV	0.75
Kidney	old_3	I	2
Kidney	old_3	II	1
Kidney	old_3	III	1
Kidney	old_3	IV	0.5
Kidney	old_4	I	1
Kidney	old_4	II	0.5
Kidney	old_4	III	0.25
Kidney	old_4	IV	0.25
Liver/Bile-duct	old_1	I	8
Liver/Bile-duct	old_1	II	2
Liver/Bile-duct	old_1	III	1
Liver/Bile-duct	old_1	IV	1
Liver/Bile-duct	old_2	I	5
Liver/Bile-duct	old_2	II	1.5
Liver/Bile-duct	old_2	III	1
Liver/Bile-duct	old_2	IV	0.75
Liver/Bile-duct	old_3	I	2
Liver/Bile-duct	old_3	II	1
Liver/Bile-duct	old_3	III	1
Liver/Bile-duct	old_3	IV	0.5
Liver/Bile-duct	old_4	I	1
Liver/Bile-duct	old_4	II	0.5
Liver/Bile-duct	old_4	III	0.25
Liver/Bile-duct	old_4	IV	0.25
Lung	old_1	I	4
Lung	old_1	II	2
Lung	old_1	III	1
Lung	old_1	IV	1
Lung	old_2	I	3
Lung	old_2	II	1.5
Lung	old_2	III	0.75
Lung	old_2	IV	0.75
Lung	old_3	I	2
Lung	old_3	II	1
Lung	old_3	III	0.5
Lung	old_3	IV	0.5
Lung	old_4	I	1.5
Lung	old_4	II	0.75
Lung	old_4	III	0.5
Lung	old_4	IV	0.25
Lymphoid Leukemia	old_1	NotStaged	6
Lymphoid Leukemia	old_2	NotStaged	4
Lymphoid Leukemia	old_3	NotStaged	3
Lymphoid Leukemia	old_4	NotStaged	2
Lymphoma	old_1	I	8
Lymphoma	old_1	II	4
Lymphoma	old_1	III	2
Lymphoma	old_1	IV	1
Lymphoma	old_2	I	6
Lymphoma	old_2	II	3
Lymphoma	old_2	III	1.5
Lymphoma	old_2	IV	1
Lymphoma	old_3	I	4
Lymphoma	old_3	II	2
Lymphoma	old_3	III	1
Lymphoma	old_3	IV	1
Lymphoma	old_4	I	1.5
Lymphoma	old_4	II	0.75
Lymphoma	old_4	III	0.5
Lymphoma	old_4	IV	0.25
Melanoma	old_1	I	10
Melanoma	old_1	II	4
Melanoma	old_1	III	2
Melanoma	old_1	IV	1
Melanoma	old_2	I	7
Melanoma	old_2	II	3
Melanoma	old_2	III	1.5
Melanoma	old_2	IV	1
Melanoma	old_3	I	4
Melanoma	old_3	II	2
Melanoma	old_3	III	1
Melanoma	old_3	IV	1
Melanoma	old_4	I	2
Melanoma	old_4	II	1
Melanoma	old_4	III	0.5
Melanoma	old_4	IV	0.5
Myeloid Neoplasm	old_1	NotStaged	6
Myeloid Neoplasm	old_2	NotStaged	4
Myeloid Neoplasm	old_3	NotStaged	3
Myeloid Neoplasm	old_4	NotStaged	2
Ovary	old_1	I	8
Ovary	old_1	II	4
Ovary	old_1	III	2
Ovary	old_1	IV	1
Ovary	old_2	I	6
Ovary	old_2	II	3
Ovary	old_2	III	1.5
Ovary	old_2	IV	1
Ovary	old_3	I	4
Ovary	old_3	II	2
Ovary	old_3	III	1
Ovary	old_3	IV	1
Ovary	old_4	I	1.5
Ovary	old_4	II	0.75
Ovary	old_4	III	0.5
Ovary	old_4	IV	0.25
Pancreas	old_1	I	8
Pancreas	old_1	II	2
Pancreas	old_1	III	1
Pancreas	old_1	IV	1
Pancreas	old_2	I	5
Pancreas	old_2	II	1.5
Pancreas	old_2	III	1
Pancreas	old_2	IV	0.75
Pancreas	old_3	I	2
Pancreas	old_3	II	1
Pancreas	old_3	III	1
Pancreas	old_3	IV	0.5
Pancreas	old_4	I	1
Pancreas	old_4	II	0.5
Pancreas	old_4	III	0.25
Pancreas	old_4	IV	0.25
Plasma Cell Neoplasm	old_1	NotStaged	6
Plasma Cell Neoplasm	old_2	NotStaged	4
Plasma Cell Neoplasm	old_3	NotStaged	3
Plasma Cell Neoplasm	old_4	NotStaged	2
Prostate	old_1	I	8
Prostate	old_1	II	2
Prostate	old_1	III	1
Prostate	old_1	IV	1
Prostate	old_2	I	5
Prostate	old_2	II	1.5
Prostate	old_2	III	1
Prostate	old_2	IV	0.75
Prostate	old_3	I	2
Prostate	old_3	II	1
Prostate	old_3	III	1
