Lower	Upper	Sex	Exposure	scenario	total_cso_driven	total_lss_cso_driven	total_ncso_driven	remaining_cancer_risk	total_lss_ncso_driven	total_no_CSO_driven	total_lss_no_CSO_driven	first_cso_ratio	breakeven_ratio
50	54	Male	Former	old_4	647.2217441079449	30.32898754058481	517.8513841625038	0.03447202171984929	3.9894452524071573	647.2217441079449	34.31843279299196	0.8837521143091993	0.19988568233867074
50	54	Male	Never	old_3	617.2197726286187	20.400987520832793	515.159267902924	0.029426371313542254	2.9402230992606837	617.2197726286187	23.341210620093477	0.8740329648227599	0.16535520936252404
50	54	Male	Never	old_4	597.2096314109117	17.955560110081983	512.1232176862238	0.02367246253937999	2.4693315644257487	597.2096314109117	20.42489167450773	0.8791018525935335	0.142473277806439
55	59	Female	Any	old_3	754.7439564676265	46.88466110395314	537.8244003637233	0.07032853165111719	9.211721524713123	754.7439564676264	56.09638262866626	0.8357876017480357	0.2874081392041031
55	59	Female	Any	old_4	709.0986013877405	41.07171541691603	530.845462752628	0.058106294424526146	7.865008253177519	709.0986013877405	48.93672367009355	0.839282083815022	0.25137990441140684
55	59	Female	Current	old_3	952.9728840384302	102.38728851982519	562.0524100971342	0.1104032452888338	16.689949904122024	952.9728840384302	119.07723842394722	0.8598392931762383	0.41021153958199247
55	59	Female	Current	old_4	887.1829950258028	91.8925378779461	552.2288511490565	0.09457827319304414	14.615632389308512	887.1829950258029	106.50817026725461	0.8627745425291377	0.37754797573301624
55	59	Female	Former	old_3	769.6404254987463	50.82636817425102	540.5984035108406	0.07509900740952984	10.007830550041481	769.6404254987461	60.834198724292506	0.8354900572390522	0.2975961428214748
55	59	Female	Former	old_4	722.3644552875498	44.67712516375973	533.1994384691934	0.06226457883096881	8.562524736058917	722.3644552875498	53.23964989981865	0.8391701532190563	0.2618692204934917
55	59	Female	Never	old_3	702.5576125049607	32.35192968986179	531.117226081946	0.058588244842853035	7.162218321496481	702.5576125049607	39.51414801135827	0.8187429393786319	0.24402324218187046
55	59	Female	Never	old_4	662.2558558246586	27.76617317962734	524.9583188195971	0.04754342949687428	6.022204117595569	662.2558558246586	33.78837729722291	0.8217669921043963	0.20731796600589503
55	59	Male	Any	old_3	783.5835678993168	54.450419809018925	535.3518963667572	0.06603487651146438	7.5347310865032044	783.5835678993168	61.98515089552213	0.8784429661354987	0.31679029742550074
55	59	Male	Any	old_4	739.1617262812832	48.38706018016626	529.0255590415416	0.05486608075066991	6.4924054271579905	739.1617262812832	54.87946560732425	0.881696999864891	0.2842898377557169
