positive_type	Expected CSO	Predicted CSO	N
tp	Lymphoid lineage	Kidney	0
tp	Lymphoid lineage	Liver, bile duct	0
tp	Lymphoid lineage	Lung	0
tp	Lymphoid lineage	Lymphoid lineage	118
tp	Lymphoid lineage	Melanocytic lineage	0
tp	Lymphoid lineage	Myeloid lineage	0
tp	Lymphoid lineage	Neuroendocrine cells	0
tp	Lymphoid lineage	Ovary	0
tp	Lymphoid lineage	Pancreas, gallbladder	0
tp	Lymphoid lineage	Plasma cell neoplasm	0
tp	Lymphoid lineage	Prostate	0
tp	Lymphoid lineage	Stomach, esophagus	0
tp	Lymphoid lineage	Thyroid gland	0
tp	Lymphoid lineage	Uterus	0
tp	Melanocytic lineage	Anus	0
tp	Melanocytic lineage	Bladder, urothelial	0
tp	Melanocytic lineage	Bone and soft tissue	0
tp	Melanocytic lineage	Breast	0
tp	Melanocytic lineage	Cervix	0
tp	Melanocytic lineage	Colon, rectum	0
tp	Melanocytic lineage	Head and neck	0
tp	Melanocytic lineage	Kidney	0
tp	Melanocytic lineage	Liver, bile duct	0
tp	Melanocytic lineage	Lung	0
tp	Melanocytic lineage	Lymphoid lineage	0
tp	Melanocytic lineage	Melanocytic lineage	6
tp	Melanocytic lineage	Myeloid lineage	0
tp	Melanocytic lineage	Neuroendocrine cells	0
tp	Melanocytic lineage	Ovary	0
tp	Melanocytic lineage	Pancreas, gallbladder	0
tp	Melanocytic lineage	Plasma cell neoplasm	0
tp	Melanocytic lineage	Prostate	0
tp	Melanocytic lineage	Stomach, esophagus	0
tp	Melanocytic lineage	Thyroid gland	0
tp	Melanocytic lineage	Uterus	0
tp	Myeloid lineage	Anus	0
tp	Myeloid lineage	Bladder, urothelial	0
tp	Myeloid lineage	Bone and soft tissue	0
tp	Myeloid lineage	Breast	0
tp	Myeloid lineage	Cervix	0
tp	Myeloid lineage	Colon, rectum	0
tp	Myeloid lineage	Head and neck	0
tp	Myeloid lineage	Kidney	0
tp	Myeloid lineage	Liver, bile duct	0
tp	Myeloid lineage	Lung	0
tp	Myeloid lineage	Lymphoid lineage	2
tp	Myeloid lineage	Melanocytic lineage	0
tp	Myeloid lineage	Myeloid lineage	0
tp	Myeloid lineage	Neuroendocrine cells	0
tp	Myeloid lineage	Ovary	0
tp	Myeloid lineage	Pancreas, gallbladder	0
tp	Myeloid lineage	Plasma cell neoplasm	0
tp	Myeloid lineage	Prostate	0
tp	Myeloid lineage	Stomach, esophagus	0
tp	Myeloid lineage	Thyroid gland	0
tp	Myeloid lineage	Uterus	0
tp	Neuroendocrine cells	Anus	0
tp	Neuroendocrine cells	Bladder, urothelial	0
