Cancer	NET	Expected CSO	Sex	Predicted CSO	final_confusion	mode_found
Breast	NotExpected	Breast	Female	Uterus	0.012943945228925974	cfdna
Cervix	No	Cervix	Male	Anus	0.016793893129770993	cfdna
Cervix	No	Cervix	Female	Anus	0.3064454614797864	cfdna
Cervix	No	Cervix	Male	Bladder, urothelial	0.012213740458015269	cfdna
Cervix	No	Cervix	Female	Bladder, urothelial	0.001525553012967201	cfdna
Cervix	No	Cervix	Male	Bone and soft tissue	0.01297709923664122	cfdna
Cervix	No	Cervix	Female	Bone and soft tissue	0.0016209000762776509	cfdna
Cervix	No	Cervix	Male	Breast	0.12213740458015267	cfdna
Cervix	No	Cervix	Female	Breast	0.015255530129672007	cfdna
Cervix	No	Cervix	Male	Cervix	0	cfdna
Cervix	No	Cervix	Female	Cervix	0.3051106025934401	cfdna
Cervix	No	Cervix	Male	Colon, rectum	0.1358778625954198	cfdna
Cervix	No	Cervix	Female	Colon, rectum	0.016971777269260108	cfdna
Cervix	No	Cervix	Male	Head and neck	0.08244274809160305	cfdna
Cervix	No	Cervix	Female	Head and neck	0.27116704805491987	cfdna
Cervix	No	Cervix	Male	Kidney	0.013740458015267175	cfdna
Cervix	No	Cervix	Female	Kidney	0.0017162471395881012	cfdna
Cervix	No	Cervix	Male	Liver, bile duct	0.038167938931297704	cfdna
Cervix	No	Cervix	Female	Liver, bile duct	0.004767353165522502	cfdna
Cervix	No	Cervix	Male	Lung	0.18396946564885494	cfdna
Cervix	No	Cervix	Female	Lung	0.02297864225781846	cfdna
Cervix	No	Cervix	Male	Lymphoid lineage	0.09541984732824427	cfdna
Cervix	No	Cervix	Female	Lymphoid lineage	0.011918382913806256	cfdna
Cervix	No	Cervix	Male	Melanocytic lineage	0.00534351145038168	cfdna
Cervix	No	Cervix	Female	Melanocytic lineage	6.674294431731504e-4	cfdna
Cervix	No	Cervix	Male	Myeloid lineage	7.633587786259543e-4	cfdna
Cervix	No	Cervix	Female	Myeloid lineage	9.534706331045006e-5	cfdna
Cervix	No	Cervix	Male	Neuroendocrine cells	0.05267175572519084	cfdna
Cervix	No	Cervix	Female	Neuroendocrine cells	0.006578947368421054	cfdna
Cervix	No	Cervix	Male	Ovary	0	cfdna
